#融资时间,融资公司,公司的种类,融资的轮次,公司地址,融资金额, 投资方（以空格分割),链接
2016.4.25,钛度科技,硬件,A轮,上海,数千万人民币,普思资本 如川基金 衡星创投 璞聚投资,https://www.itjuzi.com/investevents/16342
2016.4.25,易思汇,金融,Pre-A轮,北京,数千万人民币,IDG资本,https://www.itjuzi.com/investevents/16443
2016.4.25,衣二三,电子商务,A+轮,北京,1000万美元,IDG资本 真格基金 Crystal Stream清流资本 金沙江创投,https://www.itjuzi.com/investevents/16446
2016.4.25,有壹手快修,汽车交通,B轮,北京,6200万人民币,基石资本 风云资本 基石广汇车联网基金,https://www.itjuzi.com/investevents/16450
2016.4.25,影觅APP,电子商务,Pre-A轮,广东,数百万美元,LOVO家纺,https://www.itjuzi.com/investevents/16453
2016.4.25,英盛网,教育,A轮,广东,数千万人民币,文化长城,https://www.itjuzi.com/investevents/16455
2016.4.25,叽里呱啦,教育,A轮,上海,数千万人民币,基因资本 涌铧投资,https://www.itjuzi.com/investevents/16460
2016.4.25,盈泰财富云,金融,A轮,北京,未透露,信达资产,https://www.itjuzi.com/investevents/16461
2016.4.25,96订货网,电子商务,天使轮,江苏,数千万人民币,深圳菁葵投资,https://www.itjuzi.com/investevents/16462
2016.4.25,候诊通,医疗健康,天使轮,北京,500万人民币,大河创投 英诺天使基金,https://www.itjuzi.com/investevents/16464
2016.4.25,屏芯科技,本地生活,战略投资,北京,亿元及以上人民币,大众点评网,https://www.itjuzi.com/investevents/16465
2016.4.25,马上送吧,物流,天使轮,河南,数百万人民币,深圳中圆,https://www.itjuzi.com/investevents/16466
2016.4.25,才易科技,社交网络,天使轮,北京,数百万人民币,泰有投资 启迪创投 龙翌资本 精一天使公社,https://www.itjuzi.com/investevents/17115
2016.4.25,驭势科技,汽车交通,天使轮,北京,数百万人民币,格林深瞳,https://www.itjuzi.com/investevents/18146
2016.4.24,上海暖流文化,文化娱乐,A轮,上海,3000万人民币,微影资本(微影时代) 景林投资 头头是道投资基金 招银国际 津梦想者,https://www.itjuzi.com/investevents/16451
2016.4.24,结婚神器,本地生活,天使轮,浙江,未透露,薛蛮子,https://www.itjuzi.com/investevents/16988
2016.4.23,一登科技,工具软件,A轮,广东,2000万人民币,乐视体育(乐体创投),https://www.itjuzi.com/investevents/16430
2016.4.23,小贝壳(快贝网络),金融,天使轮,上海,500万人民币,唯嘉资本,https://www.itjuzi.com/investevents/16442
2016.4.23,Gowild公子小白,硬件,A轮,广东,1亿人民币,远致富海 紫金港资本 纳兰德投资 乾祥海泉投资(胡海泉) 博实睿德信投资,https://www.itjuzi.com/investevents/17968
2016.4.22,微众税银,金融,A轮,广东,数千万人民币,IDG资本,https://www.itjuzi.com/investevents/17610
2016.4.22,爱豆TV-爱豆网络,文化娱乐,A轮,广东,数千万人民币,盛景网联(盛景嘉成),https://www.itjuzi.com/investevents/18140
2016.4.22,家的要素(家要素),电子商务,天使轮,上海,300万人民币,梅花天使创投,https://www.itjuzi.com/investevents/18147
2016.4.22,住百家,旅游,新三板,广东,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/14608
2016.4.22,ENJOY,本地生活,C轮,北京,3000万美元,华人文化产业基金 基石资本,https://www.itjuzi.com/investevents/16403
2016.4.22,Kdan Mobile,工具软件,Pre-A轮,台湾,800万人民币,矽谷雯科创投基金,https://www.itjuzi.com/investevents/16409
2016.4.22,小马购车,汽车交通,B轮,上海,1500万美元,执一资本Yi Capital 联创策源 乾源资本,https://www.itjuzi.com/investevents/16411
2016.4.22,卡哥科技,物流,A轮,浙江,数千万人民币,松禾资本,https://www.itjuzi.com/investevents/16414
2016.4.22,华领医药,医疗健康,C轮,上海,5000万美元,丰实资本- 嘉实基金 通和资本,https://www.itjuzi.com/investevents/16415
2016.4.22,百程旅行网(佰程旅行),旅游,新三板,北京,未透露,投资方未透露,https://www.itjuzi.com/investevents/16417
2016.4.22,铁血网,文化娱乐,IPO上市后,北京,3900万人民币,光线传媒,https://www.itjuzi.com/investevents/16429
2016.4.22,盛世锦天,游戏,新三板,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/16605
2016.4.22,果酱音乐,文化娱乐,天使轮,江苏,数百万人民币,杭州多牛资本,https://www.itjuzi.com/investevents/16743
2016.4.22,甲加由,企业服务,天使轮,河南,300万人民币,星瀚资本,https://www.itjuzi.com/investevents/16919
2016.4.21,悦美网,本地生活,B轮,北京,1.1亿人民币,赛富基金 联创策源,https://www.itjuzi.com/investevents/15733
2016.4.21,「X·COS」,文化娱乐,Pre-A轮,上海,数千万人民币,旷智投资,https://www.itjuzi.com/investevents/16393
2016.4.21,安好时代,医疗健康,A轮,北京,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16394
2016.4.21,i量化,金融,天使轮,广东,数百万人民币,深圳大美金杉,https://www.itjuzi.com/investevents/16400
2016.4.21,大虾来了,本地生活,A轮,北京,3000万人民币,58同城 58到家,https://www.itjuzi.com/investevents/16405
2016.4.21,佰佳高尔夫,体育运动,A轮,北京,未透露,海通新创,https://www.itjuzi.com/investevents/16412
2016.4.21,东方航空(东航),旅游,IPO上市后,上海,30亿人民币,携程,https://www.itjuzi.com/investevents/16416
2016.4.21,电影头条,文化娱乐,天使轮,北京,500万人民币,寺库 金种子创投,https://www.itjuzi.com/investevents/10329
2016.4.20,e家洁,本地生活,新三板,北京,未透露,投资方未透露,https://www.itjuzi.com/investevents/16259
2016.4.20,Roseonly专爱花店,电子商务,C轮,北京,1.9亿人民币,盛世投资 君创资本,https://www.itjuzi.com/investevents/16354
2016.4.20,ZOMAKE,电子商务,天使轮,广东,100万美元,Infinity Venture Partners,https://www.itjuzi.com/investevents/16358
2016.4.20,沙发旅行,旅游,Pre-A轮,上海,1200万人民币,北京众海投资 九合创投,https://www.itjuzi.com/investevents/16359
2016.4.20,百度视频,文化娱乐,A轮,北京,10亿人民币,新文化 赛富基金 科冕木业(天神娱乐),https://www.itjuzi.com/investevents/16362
2016.4.20,小微律政,企业服务,A轮,北京,数百万美元,复星昆仲 蓝驰创投,https://www.itjuzi.com/investevents/16364
2016.4.20,哈密瓜科技,硬件,天使轮,北京,数千万人民币,雅瑞天使 京东 鼎翔资本,https://www.itjuzi.com/investevents/16369
2016.4.20,火球网,金融,B轮,北京,1.2亿人民币,凤凰祥瑞,https://www.itjuzi.com/investevents/16370
2016.4.20,销售易,企业服务,C轮,北京,1亿人民币,经纬中国 真格基金,https://www.itjuzi.com/investevents/16371
2016.4.20,快问中医,医疗健康,Pre-A轮,广东,未透露,至信药业,https://www.itjuzi.com/investevents/16372
2016.4.20,趣活美食送,本地生活,C轮,北京,1000万美元,ClearVue锴明投资 软银中国,https://www.itjuzi.com/investevents/16375
2016.4.20,铁甲二手机,电子商务,C轮,北京,2亿人民币,元生资本 启明创投 DCM中国,https://www.itjuzi.com/investevents/16383
2016.4.20,上海细胞治疗集团,医疗健康,B轮,上海,1.85亿人民币,君联资本 姚记扑克,https://www.itjuzi.com/investevents/16384
2016.4.20,名医主刀网,医疗健康,B轮,上海,1.5亿人民币,约印创投 中投汉富(汉富控股),https://www.itjuzi.com/investevents/16386
2016.4.20,宅米,本地生活,B+轮,上海,数千万美元,朗盛投资,https://www.itjuzi.com/investevents/16391
2016.4.20,黄小厨,本地生活,天使轮,北京,数百万人民币,如川基金,https://www.itjuzi.com/investevents/16473
2016.4.20,赛会通SaaS系统,体育运动,天使轮,浙江,200万人民币,高捷资本,https://www.itjuzi.com/investevents/16785
2016.4.20,Ulegal有法务,企业服务,天使轮,广东,数百万人民币,七煋瓢虫投资 南极圈,https://www.itjuzi.com/investevents/17263
2016.4.19,尿布师,电子商务,A轮,浙江,5500万人民币,海通开元 能图资本,https://www.itjuzi.com/investevents/16314
2016.4.19,蚂蚁金服,金融,B轮,浙江,45亿美元,中投公司 中国人寿 中邮资本 国开金融(国开开元) 春华资本Primavera 建信信托,https://www.itjuzi.com/investevents/16322
2016.4.19,好有财(珠玑信息),金融,天使轮,上海,2200万人民币,FreesFund峰瑞资本 经纬中国,https://www.itjuzi.com/investevents/16325
2016.4.19,翳安健康,医疗健康,天使轮,上海,1700万人民币,西部优势资本(西部证券),https://www.itjuzi.com/investevents/16328
2016.4.19,爱拼机,旅游,A轮,浙江,数千万人民币,耀途资本 光合创投(光合基金) 观由国际资本 APC 基金 德商资本,https://www.itjuzi.com/investevents/16330
2016.4.19,微车,汽车交通,B轮,北京,1.52亿人民币,国富绿景创投GRC 德同资本 银江股份(银江资本) 海尔投资 清科创投 TPTF基金,https://www.itjuzi.com/investevents/16331
2016.4.19,新媒体指数(清博大数据),企业服务,Pre-A轮,北京,2100万人民币,飞图创投,https://www.itjuzi.com/investevents/16337
2016.4.19,麦格尼菲传媒,文化娱乐,Pre-A轮,广东,数千万人民币,安芙兰创投,https://www.itjuzi.com/investevents/16338
2016.4.19,彩虹律师,企业服务,种子轮,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/16346
2016.4.19,白熊阅读,文化娱乐,Pre-A轮,上海,900万人民币,美盛文化 创业接力(创业基金会),https://www.itjuzi.com/investevents/16356
2016.4.18,LyncMed联医医疗科技,医疗健康,天使轮,北京,数百万人民币,领医创造 创客总部,https://www.itjuzi.com/investevents/15763
2016.4.18,人人快递网,物流,B轮,北京,5000万美元,投资方未透露,https://www.itjuzi.com/investevents/16283
2016.4.18,投投金融,金融,Pre-A轮,上海,4500万人民币,上海垠壹投资发展有限公司,https://www.itjuzi.com/investevents/16292
2016.4.18,慧沃网,教育,B+轮,北京,1.5亿人民币,复星昆仲 好未来(学而思),https://www.itjuzi.com/investevents/16295
2016.4.18,天下房仓(泰坦云),旅游,B轮,广东,1.6亿人民币,春晓资本 梧桐树资本 荣正投资 博将资本 灏德资本,https://www.itjuzi.com/investevents/16296
2016.4.18,换机精灵,工具软件,A+轮,浙江,数千万人民币,道生投资 唯嘉资本 同道齐创 清科创投 浙商创投 太冠资本,https://www.itjuzi.com/investevents/16297
2016.4.18,要出发旅行网,旅游,D轮,广东,5.5亿人民币,众信旅游 架桥投资 金鼎投资 中信建投资本,https://www.itjuzi.com/investevents/16303
2016.4.18,物流QQ货车帮,物流,A+轮,贵州,3500万美元,元生资本 腾讯 DCM中国,https://www.itjuzi.com/investevents/16304
2016.4.18,海智在线,电子商务,A轮,上海,数千万人民币,沃富金信,https://www.itjuzi.com/investevents/16305
2016.4.18,珊瑚虫云商平台,企业服务,Pre-A轮,江苏,1500万人民币,赛富基金 正和磁系资本,https://www.itjuzi.com/investevents/16307
2016.4.18,704校花,企业服务,Pre-A轮,广西,2000万人民币,红邑资本,https://www.itjuzi.com/investevents/16326
2016.4.18,墨刀MockingBot,工具软件,Pre-A轮,北京,500万人民币,FreesFund峰瑞资本,https://www.itjuzi.com/investevents/16527
2016.4.18,够赞,电子商务,天使轮,上海,未透露,澎湃资本,https://www.itjuzi.com/investevents/17270
2016.4.18,餐饮咖,本地生活,天使轮,北京,300万人民币,北京新餐媒科技有限公司 长沙卓投企业管理咨询合伙企业,https://www.itjuzi.com/investevents/17765
2016.4.16,去农庄,工具软件,Pre-A轮,广东,1000万人民币,广州全社通传媒广告,https://www.itjuzi.com/investevents/16279
2016.4.16,朋友家,旅游,天使轮,广东,数百万人民币,7天连锁酒店,https://www.itjuzi.com/investevents/16293
2016.4.16,解码DNA,医疗健康,A轮,上海,数千万人民币,海汇投资 中国平安(平安创新投),https://www.itjuzi.com/investevents/16312
2016.4.15,百思不得姐,文化娱乐,C轮,北京,数千万人民币,腾讯,https://www.itjuzi.com/investevents/16262
2016.4.15,威牛修车,汽车交通,Pre-A轮,北京,数千万人民币,乐赟资本 永不落幕资本,https://www.itjuzi.com/investevents/16263
2016.4.15,饭爷食铺,本地生活,A轮,北京,数千万人民币,芳晟股权投资基金 汇源集团,https://www.itjuzi.com/investevents/16267
2016.4.15,买趣网,电子商务,天使轮,四川,600万人民币,投资方未透露,https://www.itjuzi.com/investevents/16268
2016.4.15,MobiExchanger摩邑诚广告,广告营销,B轮,上海,2000万美元,麦腾创投,https://www.itjuzi.com/investevents/16271
2016.4.15,末元科技,文化娱乐,天使轮,北京,数百万人民币,五岳元航 天使成长营AC加速器,https://www.itjuzi.com/investevents/16597
2016.4.15,武汉可酷科技,游戏,天使轮,湖北,200万人民币,孝昌水木投资(唐彬森),https://www.itjuzi.com/investevents/17004
2016.4.15,铠甲网络,工具软件,新三板,福建,未透露,投资方未透露,https://www.itjuzi.com/investevents/17226
2016.4.14,企名片,企业服务,天使轮,北京,数百万人民币,原子创投 启迪创投,https://www.itjuzi.com/investevents/15418
2016.4.14,链尚网,电子商务,B轮,上海,1500万美元,华创资本 IDG资本,https://www.itjuzi.com/investevents/16236
2016.4.14,洗衣邦,本地生活,Pre-A轮,北京,1000万人民币,英诺天使基金 北软天使基金,https://www.itjuzi.com/investevents/16239
2016.4.14,黑鸟单车,体育运动,Pre-A轮,北京,1000万人民币,易真资本 老鹰基金EaglesFund 英诺天使基金 红实资本,https://www.itjuzi.com/investevents/16240
2016.4.14,小圆桌,企业服务,种子轮,北京,100万人民币,投资方未透露,https://www.itjuzi.com/investevents/16242
2016.4.14,PMCAFF产品经理社区,社交网络,Pre-A轮,北京,未透露,阿尔法公社,https://www.itjuzi.com/investevents/16244
2016.4.14,邦美智洗,本地生活,天使轮,北京,数千万人民币,英诺天使基金,https://www.itjuzi.com/investevents/16246
2016.4.14,有粒糖,企业服务,天使轮,北京,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16247
2016.4.14,星舰基因,医疗健康,天使轮,北京,数千万人民币,永柏投资,https://www.itjuzi.com/investevents/16248
2016.4.14,京金所,金融,A轮,北京,5000万人民币,微众享股权投资基金 富睿财智股权基金 徽起京金股权基金,https://www.itjuzi.com/investevents/16249
2016.4.14,七陌科技,企业服务,A轮,北京,3500万人民币,容联云通讯,https://www.itjuzi.com/investevents/16251
2016.4.14,LBE安全大师,工具软件,C轮,北京,未透露,投资方未透露,https://www.itjuzi.com/investevents/16252
2016.4.14,海居汇,电子商务,A轮,北京,数千万人民币,澎湃资本,https://www.itjuzi.com/investevents/16253
2016.4.14,橙瓜APP,社交网络,天使轮,浙江,800万人民币,投资方未透露,https://www.itjuzi.com/investevents/16254
2016.4.14,哈视奇,游戏,天使轮,北京,数百万人民币,清科创投 集素资本 鼎视传媒,https://www.itjuzi.com/investevents/16255
2016.4.14,驿享驾考,汽车交通,天使轮,河南,1000万人民币,河南旺田集团,https://www.itjuzi.com/investevents/16256
2016.4.14,红橘科技,企业服务,Pre-A轮,北京,2700万人民币,用友幸福投资,https://www.itjuzi.com/investevents/16257
2016.4.14,EDCO小三角户外,电子商务,A轮,北京,1350万人民币,华映资本 青骢资本 阿米巴资本 火辣健身 悦跑圈,https://www.itjuzi.com/investevents/17776
2016.4.13,美柠家,本地生活,天使轮,上海,数百万人民币,投资方未透露,https://www.itjuzi.com/investevents/17745
2016.4.13,饿了么,本地生活,F轮-上市前,上海,12.5亿美元,阿里巴巴 蚂蚁金服(阿里巴巴),https://www.itjuzi.com/investevents/13741
2016.4.13,杭州同盾科技FraudMetrix,金融,B+轮,浙江,3200万美元,尚珹资本 元禾控股 启明创投 宽带资本CBC 华创资本 IDG资本 线性资本LinearVenture,https://www.itjuzi.com/investevents/16204
2016.4.13,Insta360,硬件,B轮,广东,亿元及以上人民币,迅雷 FreesFund峰瑞资本 启明创投 IDG资本,https://www.itjuzi.com/investevents/16205
2016.4.13,今晚睡酒店,房产服务,天使轮,北京,数千万人民币,壹壹天使,https://www.itjuzi.com/investevents/16209
2016.4.13,食行生鲜,电子商务,C轮,江苏,2.49亿人民币,毅达资本,https://www.itjuzi.com/investevents/16211
2016.4.13,Hillstone山石网科,企业服务,E轮,北京,未透露,光大集团 国开金融(国开开元) 元禾控股,https://www.itjuzi.com/investevents/16216
2016.4.13,收客易,企业服务,Pre-A轮,广东,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16218
2016.4.13,卷皮网,电子商务,C轮,湖北,6亿人民币,天图资本 浙江金控资本 招银国际,https://www.itjuzi.com/investevents/16220
2016.4.13,诗莉莉,旅游,A轮,广东,3000万人民币,同威创投 李驰,https://www.itjuzi.com/investevents/16221
2016.4.13,妙健康,医疗健康,A轮,北京,1亿人民币,阳光融汇资本,https://www.itjuzi.com/investevents/16222
2016.4.13,币看Btckan,金融,A轮,广东,数千万人民币,比特大陆,https://www.itjuzi.com/investevents/16224
2016.4.13,热巢,文化娱乐,Pre-A轮,上海,1000万人民币,投资方未透露,https://www.itjuzi.com/investevents/16225
2016.4.13,美丽策,本地生活,天使轮,广东,未透露,梅花天使创投 徐颖建 章子怡,https://www.itjuzi.com/investevents/16227
2016.4.13,Remebot柏惠维康,医疗健康,A轮,北京,数千万人民币,真格基金 乾祥海泉投资(胡海泉) 雅瑞天使,https://www.itjuzi.com/investevents/16230
2016.4.13,720健康管家(720环境宝),医疗健康,A轮,北京,1000万人民币,诚成资本,https://www.itjuzi.com/investevents/16260
2016.4.13,康佳集团,硬件,战略投资,广东,4.5亿人民币,微鲸科技,https://www.itjuzi.com/investevents/16274
2016.4.12,福佑卡车,电子商务,B轮,江苏,1亿人民币,钟鼎创投,https://www.itjuzi.com/investevents/16171
2016.4.12,易米云通,企业服务,B轮,江苏,2000万美元,骊悦投资 IDG资本,https://www.itjuzi.com/investevents/16191
2016.4.12,买单侠,金融,C轮,上海,数千万美元,顺为基金 京东 晨兴资本 人人公司,https://www.itjuzi.com/investevents/16192
2016.4.12,聪明传媒,文化娱乐,Pre-A轮,北京,数百万人民币,集结号资本 乐游资本,https://www.itjuzi.com/investevents/16193
2016.4.12,车轮互联-易点时空,汽车交通,C轮,上海,5.5亿人民币,好望角投资 景林投资 上汽投资(尚颀资本),https://www.itjuzi.com/investevents/16194
2016.4.12,杭州妥妥网络科技有限公司,文化娱乐,A轮,浙江,500万美元,元璟资本,https://www.itjuzi.com/investevents/16197
2016.4.12,奇点金融,金融,A轮,北京,3000万人民币,元璟资本 艾瑞资本(艾瑞) 华软投资,https://www.itjuzi.com/investevents/16199
2016.4.12,魔方公寓,房产服务,C轮,上海,3亿美元,华平投资 中航信托,https://www.itjuzi.com/investevents/16200
2016.4.12,寓乐湾,教育,A+轮,北京,数千万人民币,中文在线,https://www.itjuzi.com/investevents/16202
2016.4.12,唯一网络,企业服务,战略投资,广东,5000万人民币,东莞证券 宏商创投,https://www.itjuzi.com/investevents/16203
2016.4.12,金融++,金融,天使轮,北京,600万人民币,京北投资-京北天使,https://www.itjuzi.com/investevents/16215
2016.4.12,VIPKID少儿英语,教育,B轮,北京,数百万美元,真格基金,https://www.itjuzi.com/investevents/16313
2016.4.12,猫眼电影,文化娱乐,A轮,北京,亿元及以上人民币,美团(新美大),https://www.itjuzi.com/investevents/17235
2016.4.12,佛脚网,教育,天使轮,山东,未透露,新浪微博(新浪微创投) 济南华科创投,https://www.itjuzi.com/investevents/17432
2016.4.11,青团社云地推,企业服务,A轮,浙江,5500万人民币,猪八戒网,https://www.itjuzi.com/investevents/16149
2016.4.11,在路上(淘在路上),旅游,C轮,上海,未透露,投资方未透露,https://www.itjuzi.com/investevents/16155
2016.4.11,大V店,电子商务,B+轮,北京,数千万美元,思伟投资 光速安振,https://www.itjuzi.com/investevents/16156
2016.4.11,第一车贷(第1车贷),汽车交通,A+轮,上海,2.17亿人民币,华创资本 经纬中国 明嘉资本 酉金资本,https://www.itjuzi.com/investevents/16157
2016.4.11,璞华大数据,企业服务,A轮,湖北,数千万人民币,VANGOO盘古创富,https://www.itjuzi.com/investevents/16159
2016.4.11,寻蜜鸟,本地生活,A轮,广东,6000万人民币,永裕恒丰金融 北京新板资本,https://www.itjuzi.com/investevents/16160
2016.4.11,帕科软件,企业服务,A轮,上海,未透露,中投中财基金,https://www.itjuzi.com/investevents/16161
2016.4.11,映美传媒,文化娱乐,A轮,北京,数千万人民币,分享投资,https://www.itjuzi.com/investevents/16164
2016.4.11,米缸金融,金融,Pre-A轮,上海,6000万人民币,中信产业基金 联创永宣,https://www.itjuzi.com/investevents/16165
2016.4.11,以梦为马,文化娱乐,Pre-A轮,上海,650万人民币,丰厚资本,https://www.itjuzi.com/investevents/16166
2016.4.11,EEOA翼鸥教育,教育,B轮,北京,未透露,ATA教育 好未来(学而思),https://www.itjuzi.com/investevents/16169
2016.4.11,灵犀AR眼镜,硬件,Pre-A轮,北京,2000万人民币,东方富海 和君资本 西部优势资本(西部证券),https://www.itjuzi.com/investevents/16177
2016.4.11,校校(大脸文化),社交网络,天使轮,上海,1000万人民币,光线传媒,https://www.itjuzi.com/investevents/16178
2016.4.11,嗖嗖身边,本地生活,Pre-A轮,北京,2000万人民币,中科招商 和玉基金,https://www.itjuzi.com/investevents/16182
2016.4.11,爱赛达课ceceSAT,教育,Pre-A轮,北京,未透露,ATA教育 众乐投资 博易创为投资,https://www.itjuzi.com/investevents/16188
2016.4.11,碳云智能科技,医疗健康,A轮,广东,10亿人民币,腾讯 中源协和,https://www.itjuzi.com/investevents/16198
2016.4.10,黄太吉,本地生活,战略投资,北京,数千万人民币,饿了么,https://www.itjuzi.com/investevents/16146
2016.4.10,佳信客服,企业服务,天使轮,广东,625万人民币,投资方未透露,https://www.itjuzi.com/investevents/16150
2016.4.10,爱宠医生,本地生活,A轮,上海,1000万人民币,普华资本(普华固周资本),https://www.itjuzi.com/investevents/17532
2016.4.10,环球捕手GlobalScanner,电子商务,A轮,浙江,数千万人民币,顺为基金 中国平安(平安创新投) 经纬中国 真格基金,https://www.itjuzi.com/investevents/17567
2016.4.9,花颂,本地生活,天使轮,广东,150万人民币,壹号投资,https://www.itjuzi.com/investevents/16142
2016.4.8,乐起游戏(乐起科技),游戏,A轮,广东,1000万人民币,粤科金融 杉华投资 泽盛资本,https://www.itjuzi.com/investevents/16119
2016.4.8,音乐e家,教育,天使轮,浙江,500万人民币,朗盛鹏欣基金;初灵创投,https://www.itjuzi.com/investevents/16123
2016.4.8,网红来了,文化娱乐,天使轮,广东,未透露,谢利明,https://www.itjuzi.com/investevents/16124
2016.4.8,趣现场微信大屏幕,工具软件,天使轮,北京,500万人民币,梅花天使创投,https://www.itjuzi.com/investevents/16125
2016.4.8,15W要我玩,游戏,天使轮,福建,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16136
2016.4.8,梦境小镇,文化娱乐,A轮,上海,数千万人民币,创业接力(创业基金会),https://www.itjuzi.com/investevents/16138
2016.4.8,沛嘉医疗,医疗健康,A轮,江苏,数千万美元,经纬中国,https://www.itjuzi.com/investevents/16139
2016.4.8,活动钱包,本地生活,天使轮,四川,5000万人民币,投资方未透露,https://www.itjuzi.com/investevents/16141
2016.4.8,考拉网(考拉超课),教育,新三板,广东,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16143
2016.4.8,宙斯网络T9游戏,游戏,天使轮,广东,数百万人民币,国灏创投,https://www.itjuzi.com/investevents/16472
2016.4.7,梦想加-梦想+,房产服务,A轮,北京,500万美元,JOY Capital愉悦资本 险峰长青(险峰华兴) 唯猎资本,https://www.itjuzi.com/investevents/16094
2016.4.7,朵儿网,教育,B轮,湖北,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16097
2016.4.7,折疯了海淘,电子商务,Pre-A轮,浙江,500万人民币,初心资本,https://www.itjuzi.com/investevents/16107
2016.4.7,艺恩汇,金融,A轮,北京,数千万人民币,景林投资 中广文影,https://www.itjuzi.com/investevents/16108
2016.4.7,个推,企业服务,C轮,浙江,7亿人民币,海通开元 民生银行(民银国际) 美国中经合集团 赛富基金,https://www.itjuzi.com/investevents/16110
2016.4.7,连咖啡,本地生活,B轮,上海,5000万人民币,华策影视,https://www.itjuzi.com/investevents/16111
2016.4.7,FitTime睿健时代,本地生活,B轮,江苏,数千万人民币,投资方未透露,https://www.itjuzi.com/investevents/16112
2016.4.7,iWorker工作家,企业服务,B轮,广东,5000万人民币,中科招商 凯盈资本,https://www.itjuzi.com/investevents/16113
2016.4.7,火芯网,金融,A轮,上海,4000万人民币,众晖资本 慧邦资本,https://www.itjuzi.com/investevents/16114
2016.4.7,高能贩,文化娱乐,Pre-A轮,北京,数千万人民币,神州泰岳(泰岳梧桐) 掌趣创享基金 青山资本,https://www.itjuzi.com/investevents/16115
2016.4.7,跨界科技Neocross,文化娱乐,天使轮,浙江,数百万人民币,仕优集资本,https://www.itjuzi.com/investevents/16116
2016.4.7,声智科技,企业服务,天使轮,北京,数百万人民币,FreesFund峰瑞资本,https://www.itjuzi.com/investevents/16818
2016.4.7,Fast4ward直线竞速赛,体育运动,天使轮,北京,数百万人民币,无穹创投,https://www.itjuzi.com/investevents/17291
2016.4.7,第一传媒网,文化娱乐,天使轮,北京,数百万人民币,狐狸元素基金,https://www.itjuzi.com/investevents/18135
2016.4.6,Horizon Robotics地平线机器人,硬件,A轮,北京,数千万美元,DST,https://www.itjuzi.com/investevents/16079
2016.4.6,美利金融,金融,B轮,北京,数千万美元,京东,https://www.itjuzi.com/investevents/16080
2016.4.6,金柚网,企业服务,B轮,浙江,1亿人民币,清控银杏创投 红杉资本中国 华映资本 景林投资,https://www.itjuzi.com/investevents/16081
2016.4.6,天娱在线,游戏,天使轮,北京,数百万人民币,投资方未透露,https://www.itjuzi.com/investevents/16083
2016.4.6,邢帅网络学院(邢帅教育),教育,B轮,广东,3亿人民币,国泰君安 中国移动(中移创新产业基金) 华盖资本 中民投,https://www.itjuzi.com/investevents/16084
2016.4.6,365医院网(医嘉互联),医疗健康,天使轮,湖北,1000万人民币,普华资本(普华固周资本),https://www.itjuzi.com/investevents/16085
2016.4.6,马泷齿科,医疗健康,B轮,上海,8500万人民币,纪源资本GGV 弘晖资本 上海立赢投资管理中心 广州宜利复医道合医疗投资基金,https://www.itjuzi.com/investevents/16086
2016.4.6,薇美姿,电子商务,B轮,广东,亿元及以上人民币,兰馨亚洲 钟鼎创投,https://www.itjuzi.com/investevents/16088
2016.4.6,极米,硬件,战略投资,四川,6000万人民币,中南文化,https://www.itjuzi.com/investevents/16089
2016.4.6,朝亚控股Chayora,企业服务,战略投资,香港,未透露,渣打银行,https://www.itjuzi.com/investevents/16090
2016.4.6,链家网,房产服务,B轮,北京,60亿人民币,华晟资本-华兴资本 百度 腾讯,https://www.itjuzi.com/investevents/16102
2016.4.6,全景赛斯科技,企业服务,A轮,北京,未透露,信中利资本,https://www.itjuzi.com/investevents/16788
2016.4.6,9-A-M智能升降工作站,电子商务,天使轮,北京,数百万人民币,真格基金,https://www.itjuzi.com/investevents/16869
2016.4.6,海居汇,电子商务,Pre-A轮,北京,500万人民币,澎湃资本,https://www.itjuzi.com/investevents/17269
2016.4.5,汇通天下G7,物流,C轮,北京,4500万美元,Temasek淡马锡 腾讯 钟鼎创投,https://www.itjuzi.com/investevents/16049
2016.4.5,药师帮,医疗健康,A轮,广东,7100万人民币,复星医药 常春藤资本Ivy Capital,https://www.itjuzi.com/investevents/16066
2016.4.5,小嘀云智能锁,硬件,A轮,浙江,1.23亿人民币,新疆融海投资有限公司,https://www.itjuzi.com/investevents/16068
2016.4.5,潘多拉锁屏/享秀,工具软件,Pre-A轮,北京,500万人民币,星火金融,https://www.itjuzi.com/investevents/16071
2016.4.5,微风部落,旅游,天使轮,北京,150万人民币,投资方未透露,https://www.itjuzi.com/investevents/16072
2016.4.5,货运中国网,物流,天使轮,上海,数千万人民币,北极光创投,https://www.itjuzi.com/investevents/16073
2016.4.5,张强医生集团,医疗健康,A轮,上海,数千万人民币,分享投资,https://www.itjuzi.com/investevents/16074
2016.4.5,人仁医,医疗健康,天使轮,广东,数百万人民币,北京众海投资,https://www.itjuzi.com/investevents/16075
